	Log2(FC)	Log10(Adj. P-value)
Ccr3	0.739114	0.113661
Akr1c19	0.191419	0.113659
Cd44	0.154027	0.113659
Mpzl3	0.145092	0.113659
Cgrrf1	0.141612	0.113659
Zfp938	-0.143857	0.113659
Asb2	-0.144323	0.113659
Adam23	-0.174774	0.113659
Glt28d2	-0.197931	0.113659
9530077C05Rik	-0.373079	0.113659
Btbd17	-0.829346	0.113659
WI1-1616M8.3	-0.96724	0.113659
Pilrb2	-0.550481	0.113618
Sox6	0.161535	0.113606
Atp2b2	-0.360452	0.113606
Prg4	0.755348	0.113593
Ppfibp2	-0.120866	0.113593
Pgbd5	-0.257531	0.113593
Mecomos	-0.624018	0.113593
Csmd3	-0.778527	0.113593
9130015L21Rik	-1.00356	0.113593
Cdh4	0.458718	0.113585
Ermp1	0.076189	0.113585
Spp1	0.747948	0.113327
Gm13835	0.310562	0.113327
Figf	0.267678	0.113327
Cdr2l	0.198842	0.113327
Krt20	0.117725	0.113327
Afmid	-0.510216	0.113327
Gm10804	-0.657473	0.113327
Gm10029	-0.790287	0.113327
Ldoc1	-0.885922	0.113327
Golga7b	-0.604957	0.113324
Kdm6a	-0.208207	0.113263
Xlr4b	-0.441187	0.113263
Angptl7	0.584109	0.113251
Sec16b	0.192105	0.113251
Fam162a	0.117858	0.113251
Apeh	-0.11518	0.113251
Tub	-0.387829	0.113251
mt-Tk	0.736223	0.113196
B4galt1	0.131794	0.113196
Eps15	0.092988	0.113196
Gm15690	-0.807186	0.113196
Clec4d	-0.944239	0.113196
Fam185a	0.178708	0.113
Flnb	0.10954	0.112938
Krt222	0.450954	0.112922
Plekhd1	0.23113	0.112922
Fam195a	0.192109	0.112922
Rpl22l1	0.16993	0.112922
Gm13461	0.828118	0.11285
Chil1	0.638962	0.11285
mt-Tl1	0.253955	0.11285
Adam22	-0.295031	0.11285
RP24-458F14.4	-0.911705	0.11285
Gm20900	-0.954352	0.11285
Med20	-0.114075	0.112808
Cd163l1	0.650232	0.112799
Kcng1	0.649836	0.112799
Nup153	0.174706	0.112799
Zmynd19	0.144203	0.112799
Cdk13	-0.10049	0.112799
Cd164	-0.110741	0.112799
Gcc1	-0.114962	0.112799
Scfd1	-0.119865	0.112799
Vgll4	-0.192293	0.112799
Hus1	-0.24102	0.112799
Fabp3	-0.255618	0.112799
Gm18048	-0.471358	0.112799
Trpc2	-0.52462	0.112799
Chac1	-0.545089	0.112799
Armc3	0.650019	0.112788
Gcgr	0.649617	0.112762
Rnase4	0.1089	0.112762
Rps7	-0.127525	0.112762
Gm13573	0.649024	0.11262
Ralgapa1	0.100937	0.11262
Phka1	-0.113695	0.11262
Tmem178b	0.443452	0.112605
C1ra	0.152458	0.112605
Med27	-0.164704	0.112605
Fam162b	-0.425264	0.112583
Btnl5-ps	0.445408	0.112583
Hip1r	-0.161057	0.112583
Xcl1	-0.499687	0.112573
Suclg2	0.190183	0.112509
Poc1a	0.220034	0.112395
Brms1l	0.239273	0.112186
Ndfip1	0.20227	0.112186
Gm10250	0.168721	0.112186
Zfp292	0.074562	0.112186
C4bp	-0.29603	0.112186
Gm9726	0.543534	0.11211
Trmt1	-0.102391	0.11211
Zfp407	-0.152272	0.11211
Rnu1a1	-0.834942	0.11211
Cubn	0.256075	0.112109
Plxna4	-0.222029	0.112109
Gbp9	0.525805	0.112028
Fbxo44	0.325951	0.112028
Hsf2	0.140615	0.112028
Hint3	-0.100007	0.112028
Hspb1	-0.141809	0.112028
Gm15963	-0.388313	0.112028
Pabpc5	0.903621	0.111859
Idh1	0.164089	0.111859
Glrx5	0.087773	0.111859
Sec22b	-0.086223	0.111859
Fam149b	-0.175715	0.111859
Vstm2b	-0.719736	0.111859
Gm9392	0.52702	0.111685
2010001K21Rik	0.526575	0.111546
Pdcd2	0.16418	0.111546
E330009J07Rik	0.154344	0.111546
Idh3a	0.105489	0.111546
Tsr2	-0.165716	0.111546
Hoxb3os	-0.260973	0.111546
Gm24927	0.526753	0.111504
Lrrc10b	0.526672	0.111504
4732440D04Rik	-0.24048	0.111478
Dnajc7	0.108057	0.11145
Nccrp1	0.634729	0.111342
4933439K11Rik	0.436442	0.111342
Ppp1r9b	0.129218	0.111342
Rqcd1	0.12154	0.111342
Zgrf1	-0.271241	0.111342
Dynlt1b	0.834174	0.111334
Slc2a10	-0.172349	0.111334
H2-T10	0.526083	0.111326
Pa2g4	0.096911	0.111326
Dhrs4	-0.109196	0.111326
Mettl8	-0.157211	0.111326
S100a10	0.091402	0.111312
Synj1	0.110328	0.111212
Snx21	-0.169299	0.11099
Hiat1	0.225927	0.110983
Tjp2	-0.100211	0.110983
Sycn	-0.288722	0.110983
Gm15644	0.192953	0.110967
Hspb8	-0.144682	0.110967
Frmd5	-0.476448	0.110967
Snhg7os	-0.809534	0.110967
Mybl2	-0.384507	0.110813
Gm25395	0.526847	0.11078
Psmf1	-0.11287	0.11078
Hmgb1	-0.170176	0.11078
Tmem30a	0.110483	0.110775
Gm29670	0.787798	0.110739
Gm10499	0.624312	0.110739
Gm7436	0.530872	0.110739
Dph7	0.524906	0.110739
Fam60a	0.451476	0.110739
RP24-290F15.1	0.433621	0.110739
Gm29107	0.356049	0.110739
Brat1	0.285712	0.110739
Snap25	0.18601	0.110739
Nfatc1	0.158001	0.110739
Ppp1r18	0.157811	0.110739
Agtpbp1	0.120457	0.110739
Dnaja1	0.116915	0.110739
Cisd2	0.108125	0.110739
Wdr61	0.104843	0.110739
Sltm	0.07917	0.110739
Sdhaf2	-0.104977	0.110739
Eef2k	-0.112833	0.110739
Man1b1	-0.115348	0.110739
Atg101	-0.117093	0.110739
Trpc4ap	-0.117372	0.110739
Akip1	-0.133957	0.110739
Kdm1b	-0.138026	0.110739
Pkp3	-0.142777	0.110739
Gpc6	-0.187143	0.110739
Hmmr	-0.199079	0.110739
Penk	-0.199785	0.110739
Rhobtb2	-0.203946	0.110739
Bin1	-0.208299	0.110739
Tmem144	-0.21041	0.110739
Rpgrip1l	-0.211891	0.110739
Creb3l3	-0.261564	0.110739
Dnajc19-ps	-0.264498	0.110739
Foxq1	-0.275707	0.110739
Hoxa9	-0.278743	0.110739
Gm24265	-0.292376	0.110739
RP23-440J24.4	-0.375702	0.110739
Tceal6	-0.545173	0.110739
Tmem28	-0.545461	0.110739
RP23-363K7.4	-0.782117	0.110739
Mir3082	-0.817433	0.110739
4930451G09Rik	-0.871528	0.110739
RP23-411B11.3	-0.884093	0.110739
Gm10800	-1.401656	0.110739
Npc1	0.130904	0.110726
Mios	0.145026	0.11061
Fam46a	-0.098733	0.11061
Arhgef2	-0.121762	0.11061
Rbl2	-0.147147	0.11061
Ppap2c	-0.10753	0.110554
Pabpn1l	-0.54434	0.110466
Cd34	0.120393	0.11041
Plekhg6	0.174757	0.110303
Ucp2	-0.22993	0.110245
Olfr56	1.018931	0.110119
Snord110	0.946064	0.110103
Nme6	-0.206754	0.110103
2-Sep	0.112752	0.110032
Rnf4	0.142613	0.110025
Gba2	-0.230103	0.109981
Rest	0.099718	0.109958
Rpl7	-0.081829	0.109958
Hspa9	0.116013	0.109882
Ap3s1	0.405324	0.109871
Msrb3	0.209862	0.109871
Tmem65	-0.099509	0.109871
Madd	-0.131301	0.109871
Gpkow	0.186597	0.109746
Gm5801	0.922278	0.109548
Tnfrsf26	0.621385	0.10952
Mob3a	0.199676	0.10945
Tbxas1	-0.259547	0.10941
Itgb7	-0.328523	0.109367
Fam19a5	-0.184559	0.109189
Map3k7cl	0.8238	0.109148
Gm10138	0.208822	0.109148
Cxcr5	0.673776	0.109003
Mrps18c	0.111128	0.109003
Rnf7	0.110073	0.109003
Slc16a5	0.107966	0.109003
Herpud1	0.099312	0.109003
Prkcsh	-0.104823	0.109003
Elmod2	-0.119792	0.109003
Repin1	-0.135412	0.109003
Hmha1	-0.223255	0.109003
Matr3-ps2	0.847486	0.108994
Cacfd1	-0.086701	0.108994
Capn5	-0.132562	0.108994
Snai3	-0.55586	0.108994
Mtor	0.12447	0.108895
Mdm2	0.091331	0.108794
Rassf7	-0.145399	0.10874
Hgsnat	-0.165446	0.10874
0610009O20Rik	-0.124296	0.108697
Tmem206	-0.322641	0.108637
4632411P08Rik	0.242609	0.108624
Parg	-0.109904	0.108624
Hykk	-0.222883	0.108624
Tldc1	0.521122	0.108597
Sema3b	0.133271	0.108597
Sirt5	-0.209622	0.108597
Wnt5b	-0.390698	0.108597
Gm4981	-1.049434	0.108597
Cdk7	0.093814	0.108564
Gm24492	-0.804199	0.108564
Fam57a	0.1501	0.10852
Itpk1	-0.118945	0.10852
Vps37c	-0.221952	0.10852
Prickle1	-0.145089	0.10846
Gm13157	-0.265429	0.10846
Exoc6b	-0.108326	0.10841
Ncln	-0.126966	0.10841
Gpr126	-0.228461	0.10841
Gm14305	-0.803229	0.108391
Fgf2	1.082665	0.108358
Enah	0.101829	0.108358
Tmem11	0.086419	0.108358
Zfp592	-0.092882	0.108358
Hmgcs1	-0.109873	0.108358
Syn3	-0.483631	0.108358
Ccdc103	-0.845433	0.108358
Murc	0.716791	0.108356
Mapk4	0.35879	0.108347
Pcdhb17	-0.265602	0.10834
Txnrd3	0.181533	0.108269
Capns1	-0.103445	0.108245
Smad2	-0.140091	0.108111
Paxbp1	0.105784	0.108066
Gm8444	0.796773	0.107828
Gm26520	0.643223	0.107828
Ada	0.360169	0.107828
Ikzf2	0.120733	0.107828
Snx18	0.111039	0.107828
Gga1	0.109304	0.107828
Rmdn3	0.09555	0.107828
Rabep1	0.090503	0.107828
Ube2q1	-0.088527	0.107828
Insr	-0.09776	0.107828
Srd5a3	-0.18182	0.107828
Scn5a	-0.38909	0.107828
BC037032	-0.543545	0.107828
Hist2h3b	0.663978	0.107729
Relt	0.531344	0.107729
Cntn2	0.677887	0.107665
Gm9845	0.652191	0.107665
Lrrc41	0.240516	0.107665
Zfp397	0.155676	0.107665
Zfp277	-0.197054	0.107665
Hmgb1-ps1	0.377388	0.107607
Lrp5	0.187055	0.107607
Gm4944	-0.158451	0.10755
RP23-101N20.9	-0.227388	0.107508
Zfp810	-0.237864	0.107508
Gm10177	-0.299714	0.107508
Gm15501	0.345004	0.107435
Fbxw11	0.102439	0.107408
Fam208a	0.099685	0.107408
Dcbld1	0.099242	0.107408
Adat1	-0.287707	0.107408
Gm29243	-0.930578	0.10734
Emid1	0.161932	0.107331
Cct2	0.083535	0.107331
Scly	-0.146098	0.107331
Wdr46	-0.169911	0.107331
Nek8	-0.235118	0.107331
Xbp1	0.135421	0.10726
Tstd3	0.127483	0.10726
Eml1	-0.121124	0.10726
Reps1	-0.161282	0.107166
Zfp93	-0.410075	0.107166
Med10	-0.105922	0.107097
Rbm15	0.289839	0.107018
Gm13111	0.719956	0.106971
Ypel4	0.376529	0.106971
Ston1	0.242553	0.106971
Nos3	0.226761	0.106971
Vamp7	0.136221	0.106971
Iars	-0.130354	0.106971
Tmem259	-0.150499	0.106971
Ccdc22	-0.195165	0.106971
Slc17a6	-0.637758	0.106963
Cbr2	0.219576	0.106953
P2ry13	-0.348795	0.106828
Mbd2	0.107105	0.106707
Sec24c	-0.128036	0.106707
Bai2	-0.704824	0.106678
Ifitm5	0.432695	0.106627
Unc80	0.291234	0.106597
Arf3	-0.090807	0.106597
Polr2k	0.322997	0.10656
Pbx2	0.116704	0.10656
Scnn1a	-0.152927	0.10656
RP23-393I12.4	-0.399099	0.10656
Mro	-0.557892	0.106525
RP24-302G16.2	0.555299	0.106435
Rrp12	0.219967	0.106435
2810408A11Rik	-0.215269	0.106435
Jmjd8	-0.125364	0.106434
Stk36	-0.46762	0.106434
Gypc	0.227356	0.106381
Gm26521	-0.476525	0.106381
RP23-461P14.1	0.444207	0.106372
Gm4189	0.645964	0.106372
Akt3	-0.163143	0.106372
Pon2	0.088118	0.106274
Pcdh12	0.506546	0.10622
Dtx3l	-0.121687	0.106026
Cwf19l2	-0.095891	0.105917
Itpkc	-0.125507	0.105916
Hmgb1-rs16	0.543957	0.105885
Snrpb2	0.109187	0.105885
Rps25	-0.082899	0.105885
Otub1	-0.122771	0.105885
Gltscr2	-0.097975	0.10586
Psmg3	-0.13334	0.105581
Prpf4	0.146945	0.105566
Dnajc30	0.131026	0.10528
Map10	-0.257104	0.10528
Dzip1	-0.269365	0.10528
Slc16a13	0.262794	0.105133
Ptpn13	0.168764	0.105133
Agap3	0.14532	0.105133
Usp24	-0.092175	0.105133
Zfx	-0.119638	0.105133
Nbn	-0.145004	0.105133
Carf	-0.177404	0.105133
2310016G11Rik	-0.563502	0.105133
Stag3	-0.60448	0.105133
Kcnj13	-0.794765	0.105133
Gm13378	0.832223	0.105043
Snx27	0.112181	0.105043
C920006O11Rik	-0.249882	0.105043
Adamtsl3	0.403335	0.104894
Ticrr	0.349796	0.104862
2210408F21Rik	0.196578	0.104862
Lsm12	0.152553	0.104862
Cep68	0.145008	0.104862
Cers4	-0.095091	0.104862
Sema6a	-0.129863	0.104862
Thnsl2	-0.147256	0.104862
Vac14	-0.198968	0.104862
D630033O11Rik	-0.292459	0.104862
Gm8989	-0.365893	0.104862
Zfp563	-0.44006	0.104862
Gpr18	-0.596172	0.104862
Nipa2	0.095296	0.104852
Manba	-0.25044	0.104852
Npdc1	-0.112025	0.104793
Nlrx1	-0.227636	0.104793
Trmt6	-0.107347	0.104739
Notch2	0.198609	0.104645
Gm15947	0.654671	0.104327
A430035B10Rik	0.225877	0.104241
C1qtnf3	0.170731	0.104174
Ldhd	0.244027	0.104164
Zmat2	-0.108018	0.103821
Myrf	-0.47824	0.103821
Rgs19	-0.300007	0.103797
Mgst2	0.10948	0.103746
Smek1	0.100235	0.103746
Serping1	-0.121737	0.103746
Evpl	-0.168165	0.103746
Eral1	-0.190548	0.103746
RP23-68O7.2	-0.29349	0.103746
Cops4	-0.09806	0.103677
Kansl1l	-0.188291	0.103677
Gm17322	0.390983	0.103562
Thop1	-0.327678	0.103562
Xrcc3	-0.287959	0.103548
Rpl13a-ps1	0.649925	0.103515
Hsd3b2	0.158869	0.103515
Fip1l1	-0.065195	0.103478
Abcc6	-0.536995	0.103478
Tor4a	0.189327	0.103476
Zfp106	0.087806	0.103396
Cep85l	0.437212	0.103345
Fdps	-0.159518	0.10318
2810405F17Rik	-0.385237	0.10318
Ppp6r2	-0.537724	0.10318
Pdcl3	0.227145	0.10312
BC048609	-0.621675	0.10312
Unc13c	0.308288	0.103068
Ace2	0.267431	0.103068
Tm9sf2	0.158853	0.103068
Prosc	0.130952	0.103068
Ahr	-0.132252	0.103068
Spsb3	-0.199523	0.103068
Zbtb39	-0.239496	0.103068
Pear1	-0.252339	0.103068
Tmem91	-0.621367	0.103068
A530095I07Rik	-0.620773	0.102918
Ccdc137	-0.143535	0.102857
RP23-95I4.2	0.682877	0.102788
Tes3-ps	0.50012	0.102788
Gprin1	-0.471214	0.102788
Pcbp4	0.17709	0.102671
Rps15a-ps6	0.545178	0.10265
Wnt10b	0.838351	0.102536
Rab11fip4	-0.195096	0.102532
Id4	0.282545	0.102467
Gm26685	-0.647481	0.102434
Cd63-ps	0.223764	0.102147
Mir99ahg	0.18251	0.102147
Gng11	0.098745	0.102147
Hmgn5	0.093237	0.102147
Vps35	0.076312	0.102147
Dnajb11	-0.099608	0.102147
Sf3b4	-0.136838	0.102147
Amica1	-0.171396	0.102147
Mthfsd	-0.17204	0.102147
5330438D12Rik	-0.216416	0.102147
Myo18b	-0.615651	0.102147
Gm15286	-0.666544	0.102147
Itpr3	-0.090374	0.10212
Plekhb1	-0.231484	0.102099
Bop1	-0.154932	0.101869
Gm24045	0.485826	0.101832
Fam21	-0.190412	0.101804
Gnpda2	-0.164953	0.101767
Arhgef7	-0.128104	0.10173
2410089E03Rik	-0.207748	0.101668
Cxcr4	-0.315742	0.101436
D230022J07Rik	-0.789158	0.101284
Actr1b	-0.122307	0.101278
Nr1i2	-0.130654	0.101278
Slc19a3	0.998873	0.101215
RP23-377H12.5	0.484491	0.101204
RP23-175G2.3	0.484088	0.101204
Stac	0.270348	0.101204
Pdzk1ip1	-0.136016	0.101204
Ttc21a	-0.912784	0.101204
Ccr6	0.581682	0.101153
Gxylt2	0.484262	0.101153
Fam49b	0.098069	0.101153
Ms4a1	-0.51165	0.101153
Smc5	0.103271	0.101125
Gimap4	-0.238407	0.10102
Mslnl	-0.81731	0.100891
Fbxo33	0.121285	0.100853
Rrm1	0.156078	0.100827
Clrn3	0.123198	0.100827
Wtap	-0.099342	0.100827
Mc2r	0.958343	0.100552
Gm16348	0.519727	0.100552
Acn9	0.143099	0.100552
Dtnbos	-0.82718	0.100552
Rpl31-ps11	-0.702394	0.100491
Gde1	-0.109488	0.100487
Dhrs3	-0.136396	0.100487
Tnip2	-0.206002	0.100487
Gm14966	-0.411534	0.100487
Pydc3	-0.443225	0.100487
Ska2	-0.20199	0.100474
Serpina9	0.634874	0.100393
Col24a1	0.473531	0.100379
Cartpt	0.202895	0.100338
Dyrk1a	-0.076391	0.100338
Cdk4	-0.134231	0.100338
Acy3	-0.144081	0.100338
Lnp	0.150468	0.100282
RP23-93D12.2	-0.330114	0.100278
Gm12676	-1.025407	0.100236
Htra1	0.130278	0.100084
Gm11837	0.323165	0.099994
Jmjd7	0.255195	0.099948
Cacybp	0.106139	0.099948
Snap91	-0.24575	0.099948
Gm15453	-0.46092	0.099948
Slc9a6	0.104846	0.099941
Api5	-0.170134	0.099941
Gm13961	-0.637596	0.099932
Foxp2	-0.107516	0.099848
Palb2	-0.322193	0.099773
Gm12669	0.44515	0.09975
Rsrc2	0.064745	0.09975
AI413582	-0.149259	0.09975
Clec9a	-0.34234	0.09975
Fam19a2	-0.619123	0.09975
Tagap1	-0.173623	0.099571
Pon1	0.514383	0.099565
Gucy1a2	0.483099	0.099565
Ptgir	0.256917	0.099565
Elp3	-0.147138	0.099565
9330161L09Rik	-0.819736	0.099565
Car10	0.64411	0.09954
Zfp112	0.560577	0.09954
Gpr107	-0.101942	0.09954
Itln1	-0.354048	0.09954
Ercc4	-0.156429	0.099506
Btd	-0.174557	0.099506
Fam198a	0.364109	0.099443
Ttll4	0.156701	0.099443
Tor2a	-0.110267	0.099443
Rab13	-0.152242	0.099443
Wnt6	-0.322694	0.099443
Pacrg	-0.600458	0.099443
Ly6k	0.657127	0.099369
Gal3st1	0.242387	0.099295
Kif2a	-0.103469	0.099295
BC021891	-0.110163	0.099295
Cyyr1	-0.461447	0.099295
RP23-18M1.6	0.668226	0.09923
Dnm3os	0.261612	0.09923
Surf6	0.144077	0.09923
8-Mar	0.095077	0.09923
Prr5l	-0.221695	0.09923
Myo1d	0.112475	0.099103
Pus7	-0.155191	0.099103
Gm11131	0.273569	0.099005
Asxl2	0.077379	0.099005
Hps6	-0.177107	0.099005
Gripap1	-0.120639	0.098615
Sgsh	-0.205387	0.098611
Cbr3	0.160953	0.098543
Gm13341	-0.129501	0.098543
Spink3	-0.241106	0.098543
Xcr1	-0.395765	0.098543
Il33	0.175248	0.098434
Lsm14a	0.121785	0.098434
Pcdhb13	0.615969	0.098404
Elf1	0.09441	0.098404
Ccni	-0.080915	0.098404
Zmym2	-0.086186	0.098404
Htt	-0.093375	0.098404
Stxbp6	-0.119161	0.098404
RP23-70F22.2	-0.624122	0.098404
Ldhal6b	-0.829638	0.098404
Tmem185b	-0.863981	0.098404
Fam155a	-0.285529	0.098345
Spef1	-0.158173	0.098345
5430435G22Rik	0.122938	0.098276
Gsta3	0.155801	0.098228
Gm26725	-0.49621	0.098194
D17Wsu104e	0.10042	0.098142
Retnla	-0.178711	0.098142
8-Sep	0.092301	0.098099
2-Mar	-0.08257	0.098047
Mtg2	-0.19365	0.097999
AU019823	0.109802	0.097956
Lama1	0.504005	0.097766
Rpp21	-0.119821	0.097766
Atp6v0a1	-0.127216	0.097766
Rab39b	-0.441969	0.097766
Gm14017	-0.607876	0.097766
Ctsb	-0.077485	0.097698
Gm14044	0.283502	0.097663
Rpl3-ps1	0.304687	0.097635
Slc35f5	0.188472	0.097635
Gm13368	-0.908048	0.097635
1700105P06Rik	0.781539	0.097474
Dhrs1	-0.097312	0.097474
Dync1i1	0.178389	0.097447
Zcchc9	0.167109	0.097447
AV026068	-0.241344	0.097447
2600014E21Rik	-0.49477	0.097447
Sdf2	0.17902	0.097386
Tet3	0.114332	0.097386
Zmpste24	-0.123165	0.097386
Fbxl3	-0.136616	0.097386
Mybl1	0.409163	0.097365
AI467606	0.291931	0.097365
Gsr	0.215404	0.097365
Hic1	0.180069	0.097365
Dxo	0.155426	0.097365
2610021A01Rik	0.153192	0.097365
Selk	0.079211	0.097365
Fgf1	-0.116543	0.097365
Thoc5	-0.132251	0.097365
Rep15	-0.13972	0.097365
Cdk5rap3	-0.15082	0.097365
Flrt2	-0.19941	0.097365
Unk	-0.2049	0.097365
Gng7	-0.414626	0.097365
Ankrd12	0.078362	0.09708
Defb39	0.579963	0.097064
Tbx1	0.553001	0.097064
D630011A20Rik	-0.527687	0.097064
Crbn	-0.109658	0.097056
Wdr76	-0.142167	0.097056
Dohh	-0.169674	0.097056
Gm8894	-0.61943	0.097056
Cat	-0.091776	0.096865
D130017N08Rik	0.338881	0.096827
Scn3a	0.201802	0.096827
Tmco3	-0.101714	0.096827
Gm24208	0.806272	0.096758
Itgb1bp2	0.63645	0.096758
Ebf2	0.396845	0.096758
Prickle3	0.163045	0.096758
Tor1aip1	0.152569	0.096758
Vps26b	0.100259	0.096758
Bin2	-0.346696	0.096758
Ccbe1	-0.227099	0.096751
RP23-201C3.5	-0.348139	0.096751
Cpne6	0.794879	0.096567
Ccdc181	-0.147413	0.096567
Mtus2	0.149935	0.096541
Atad2b	0.122291	0.096541
Fbp2	-0.08322	0.096541
Usp13	-0.234668	0.096495
Trem2	-0.532093	0.096495
Mical2	0.098701	0.096452
Ankfy1	-0.087114	0.096452
RP24-490B17.5	-0.391438	0.096452
Podxl	-0.122323	0.096413
Syn1	-0.258546	0.096413
Atp6v1g1	0.138954	0.096275
Rsl1d1	0.135387	0.096275
Apoe	0.106249	0.096201
Zdhhc7	-0.100597	0.096201
Rem1	-0.276255	0.096201
Dse	0.258204	0.096186
Dcxr	-0.198494	0.096186
Apba2	-0.354261	0.096078
Rsf1	0.083636	0.095935
E130307A14Rik	-0.208629	0.095935
Tm9sf3	0.14945	0.09583
Tinagl1	-0.177018	0.095822
Skp2	0.235321	0.095745
Rilpl1	0.200693	0.095721
Pla2g4d	0.70459	0.095682
Dennd2c	0.34735	0.095626
Alg8	0.145004	0.09562
Eif1ax	-0.077405	0.095615
Trmt5	-0.323145	0.095615
Ptpn3	-0.119721	0.095573
Rhoc	-0.121925	0.095573
Glt8d2	0.380694	0.095516
Tcf24	0.380543	0.095516
Mgst3	0.266471	0.095516
Map2k1	0.173924	0.095516
4930577N17Rik	0.380565	0.095441
E2f4	0.163291	0.095352
Pogk	0.133653	0.095282
Sumf1	0.084131	0.095278
Trim30e-ps1	-0.400439	0.095063
Hbb-bt	-0.272227	0.095037
Gm29008	-0.317233	0.095037
Tap1	0.20627	0.095017
9530053A07Rik	0.736858	0.095011
Stx5a	-0.111362	0.095011
Ncoa3	-0.121437	0.094993
1810059H22Rik	0.174068	0.094944
Nudt18	-0.165206	0.094874
Fbxo27	0.585625	0.094652
Khdrbs2	-0.353253	0.094645
Dmrtc1a	0.567374	0.094629
Rffl	0.180812	0.094629
Ttc1	0.092129	0.094626
Oaz1-ps	0.467164	0.094561
BC030336	0.161695	0.094561
Enoph1	0.115294	0.094561
Mpp6	-0.190307	0.094561
Ubd	-0.466441	0.094561
Azin1	0.097669	0.094497
Ip6k1	-0.09625	0.094497
Mtmr14	-0.129398	0.094497
Dtymk	-0.175867	0.094497
Nek4	-0.257075	0.094497
4930426D05Rik	-0.809876	0.094497
Hnmt	0.343991	0.094484
St8sia2	0.570269	0.094327
Cd300e	-0.741333	0.094287
C5ar1	0.334662	0.094148
Acin1	0.111318	0.094148
C330013E15Rik	0.356285	0.094087
E2f1	-0.220941	0.094082
Mal	-0.226252	0.094082
Chst4	-0.131256	0.094065
Mapk3	-0.12831	0.094065
Aldh1a1	-0.08592	0.094055
Gbf1	-0.092702	0.094055
H2-DMb2	-0.315127	0.094055
Mzt2	-0.180482	0.094036
Slc25a31	0.81733	0.094012
Coq10a	-0.196443	0.094012
St7	0.18997	0.093929
Nov	-0.202994	0.093929
Scml4	0.117802	0.0939
2210016L21Rik	0.146843	0.093845
Rab27b	-0.123008	0.093738
Nt5e	-0.195241	0.093738
Morf4l2	-0.198385	0.093691
6530402F18Rik	0.613014	0.093545
Agtrap	0.111477	0.093455
Ankrd50	-0.10196	0.093418
Gm26902	0.821594	0.093375
Klc2	0.163	0.093375
Cbfa2t2	0.142765	0.093321
Atr	-0.140275	0.093274
Hoxc10	0.331408	0.092951
Tceb1	0.160477	0.092782
Etfdh	0.182467	0.092772
Ppp2r2d	-0.101905	0.092772
Nit1	0.101007	0.092675
Gpr173	0.387429	0.092647
Nprl2	0.147412	0.092647
Pgam5	0.132695	0.092647
Cldn12	0.094242	0.092647
Smdt1	-0.091543	0.092647
Taf5	-0.185521	0.092647
Atp10a	-0.242905	0.092647
Lpar3	-0.345484	0.092647
Ttc16	-0.792479	0.092647
Gm16014	0.277041	0.092631
Eps15l1	0.207984	0.092631
Sema4c	0.174969	0.092631
Kmo	-0.3555	0.092631
Insl5	-0.374516	0.092631
Gm5069	-0.30101	0.092566
Tead4	-0.3697	0.092566
Lgals7	0.636172	0.092548
Rybp	0.298281	0.092548
Gys1	0.121977	0.092548
Zfp84	-0.175531	0.092548
Prcc	-0.202995	0.092548
Gm9840	-0.39875	0.092548
Plcd1	0.172768	0.092525
Cd55	0.152886	0.092525
Pbk	-0.157725	0.092501
Uba3	0.154491	0.092449
Bcdin3d	-0.20639	0.092276
Krt15	0.494695	0.092242
1810037I17Rik	0.157495	0.092242
Cherp	-0.123768	0.092242
Cd177	-0.221373	0.092242
Gm11808	0.218691	0.092182
Csgalnact2	0.170498	0.092182
Fermt2	0.135253	0.092182
Aldoart1	0.448949	0.092164
Gmip	0.176835	0.092158
Ms4a6c	0.139787	0.092153
Guk1	0.104677	0.092137
Chst12	0.17914	0.09212
B630005N14Rik	0.136095	0.09212
Ube2a	0.116066	0.09212
Spcs2	0.101886	0.09212
Usp5	-0.132595	0.092007
Nkx6-2	-0.781411	0.092007
RP23-393I12.3	-0.292231	0.091989
Zfp385c	0.737752	0.091985
Rps23-ps	0.677339	0.091985
Gm12743	0.677339	0.091985
Gm6276	0.677273	0.091985
RP24-84B18.1	0.677178	0.091985
Calca	0.676926	0.091985
Gm13532	0.676924	0.091985
Lrrtm4	0.676842	0.091985
Nup62cl	0.676824	0.091985
Spem1	0.676789	0.091985
Klhl41	0.67672	0.091985
Gm25220	0.676699	0.091985
Gm10237	0.676693	0.091985
A930038B10Rik	0.67665	0.091985
Rho	0.676599	0.091985
Palm2	0.676564	0.091985
Irg1	0.676438	0.091985
Gm3636	0.67641	0.091985
Gm11496	0.676404	0.091985
AI317395	0.676401	0.091985
Neto1	0.676243	0.091985
Gm5921	0.676194	0.091985
Igdcc3	0.676153	0.091985
AI118078	0.675965	0.091985
Izumo1	0.675948	0.091985
RP23-335C3.8	0.675919	0.091985
Slc1a7	0.675844	0.091985
Mir351	0.675724	0.091985
Gm12854	0.578501	0.091985
Ifitm10	0.550461	0.091985
Dyrk3	0.47825	0.091985
Hist1h2ag	0.476974	0.091985
Gm15133	0.44995	0.091985
Creg2	0.448197	0.091985
Slc4a11	0.364365	0.091985
Artn	0.355522	0.091985
Fbxl4	0.302244	0.091985
THAP6	0.262413	0.091985
Pinx1	0.216363	0.091985
Hoxb3	0.179491	0.091985
Gas6	0.176875	0.091985
Tti2	0.166704	0.091985
Tppp	0.165223	0.091985
