	Log2(FC)	Log10(Adj. P-value)
Xkr9	-0.297659	0.12527
Cast	0.11564	0.12527
Dnmbp	0.288982	0.12527
Has2os	0.478254	0.12527
Cenpk	-0.252352	0.1252
Rps4x	0.153095	0.125152
Mbd3	0.197832	0.125152
Det1	0.23027	0.125152
Pfkm	0.263022	0.125095
Agpat3	-0.126569	0.125016
Csnk1g3	-0.121846	0.125016
Epc1	0.104456	0.125016
Col6a1	0.149851	0.125016
Pitx2	-0.569299	0.124832
Kdelr2	-0.12177	0.124832
Ergic3	0.164065	0.124832
Trgv2	0.52522	0.124832
Gramd3	-0.140499	0.12476
RP23-250O14.1	0.826792	0.12476
Paf1	0.122069	0.124759
Clta	-0.090364	0.124748
Gm24233	0.47152	0.124748
Vwc2	0.477548	0.124748
Ly6k	0.67364	0.124748
Txnip	-0.273271	0.124717
Pelp1	0.16394	0.124672
Vpreb1	-0.609626	0.124505
Tmem59l	-0.710316	0.124329
Cym	1.294065	0.124329
Gm24119	-0.616157	0.1243
Sbno2	-0.614055	0.1243
Kcnq2	-0.382547	0.1243
Tatdn1	-0.340174	0.1243
Rps2	-0.292382	0.1243
A430005L14Rik	-0.270008	0.1243
Simc1	-0.235998	0.1243
Scrib	-0.14334	0.1243
Lrpap1	-0.136574	0.1243
Vdac2	-0.094749	0.1243
Ift46	0.16698	0.1243
Pigv	0.17704	0.1243
Klkb1	0.479694	0.1243
Steap4	0.486724	0.1243
2610021A01Rik	-0.232031	0.124211
Gm20445	-1.072036	0.124124
Gnat3	-0.913558	0.124124
Ap4s1	-0.145324	0.124124
St6galnac6	0.233366	0.124124
Gm12716	0.778238	0.124124
Cdca7l	-0.184012	0.124073
Ubox5	0.285115	0.123959
Oser1	0.299907	0.123932
Afap1l2	0.43993	0.123883
Ttll1	0.462565	0.123883
9330161L09Rik	-0.985746	0.123824
Tescl	-0.941718	0.123824
Gm26518	-0.808372	0.123824
Nr0b2	-0.688976	0.123824
Cbfb	-0.19837	0.123824
Lztr1	-0.116478	0.123824
Pbx1	-0.103182	0.123824
Fbln1	0.142357	0.123824
Efemp2	0.327173	0.123824
Dusp9	0.865734	0.12382
Sorbs1	0.34435	0.123558
Pfkfb3	-0.205579	0.123498
Trit1	0.193427	0.123498
Ap4m1	0.252354	0.123498
Eltd1	0.197837	0.123467
Sar1b	-0.108413	0.123272
Cycs	0.095804	0.123272
Trappc12	0.153717	0.123272
Tff3	0.120623	0.123215
Aak1	-0.412593	0.123163
Ankle1	-0.337156	0.123163
Nova2	0.352491	0.123163
Usp9x	0.123212	0.123073
Fam122b	0.199131	0.123073
Gm12195	-0.74151	0.122973
Gm8121	-0.715829	0.122973
C1s1	-0.162325	0.122973
B3glct	0.131425	0.122973
Leprel1	0.256876	0.122969
RP24-541A5.1	-0.265755	0.122967
RP23-74F20.2	-0.934888	0.122926
Tor4a	-0.272937	0.122926
Esyt1	-0.237044	0.122926
Itpa	-0.146239	0.122926
Idh3b	-0.09833	0.122926
1810058I24Rik	0.11016	0.122926
Bmf	0.284962	0.122926
Tnr	0.678646	0.122926
2310010G23Rik	0.678674	0.122926
Klb	0.678896	0.122926
Elovl2	0.678961	0.122926
Gm6169	0.679033	0.122926
2410080I02Rik	0.679083	0.122926
RP24-84B18.1	-0.601161	0.122897
Klrb1a	0.678673	0.122897
Kcnt1	-0.600817	0.122769
Maats1	-0.60062	0.122736
Mpg	-0.156156	0.122581
Gm12743	-0.600484	0.122538
mt-Tl1	-0.22729	0.122538
Galnt10	0.149533	0.122538
Lnx1	-0.176231	0.122496
Fbxo44	0.279913	0.12249
Nfia	0.14218	0.122485
Wdr60	-0.278877	0.122369
Spa17	-0.241611	0.122369
Lrba	-0.086551	0.122369
Slc35b2	0.153539	0.122369
Vps13c	0.164943	0.122369
Cdk5rap3	0.168951	0.122259
Nup98	-0.316582	0.122253
Zfp169	-0.299702	0.122253
Kdm4b	0.214008	0.122013
Gm6368	-0.734576	0.121993
Ddx28	-0.230218	0.121993
Bco2	-0.20365	0.121993
Nadsyn1	-0.133464	0.121993
Tab2	-0.126695	0.121993
2410004N09Rik	0.124114	0.121993
Gm10012	0.553967	0.121993
Tespa1	0.749459	0.121993
Eif1	-0.116994	0.121899
Pirb	-0.299331	0.121878
G2e3	0.132028	0.121878
Zfp560	-0.249879	0.12186
Fam174a	0.19396	0.12186
Tenm4	0.194388	0.12186
Tacr2	-0.715806	0.121829
Wnk2	0.166574	0.121829
Traf5	0.199997	0.121829
Nsg1	-0.24053	0.121765
Zadh2	0.120463	0.121765
Trmt13	0.145582	0.121765
Pcsk1	0.173279	0.121765
Gm28229	0.353993	0.121765
Gm15937	0.358841	0.121765
Dhrs7b	-0.114962	0.121715
Gm26569	0.490697	0.121715
Rpl36-ps2	0.688893	0.121715
Ppp1r35	-0.556276	0.121643
Zhx2	-0.162211	0.121643
Pon3	-0.111533	0.12158
Clmp	0.080671	0.12158
Sun1	-0.167078	0.121322
Rbm12b2	-0.337288	0.121222
Gm19325	-0.249708	0.121222
Zcchc9	0.186701	0.121222
Gpr153	0.309341	0.121222
Zfp61	0.364597	0.121222
Cela1	-0.213253	0.121207
Arhgap33	0.340682	0.121207
BC034090	0.630138	0.121174
Lgi4	0.315814	0.121174
Mccc1	-0.174658	0.121169
Larp6	0.397374	0.12111
Armc7	-0.403128	0.121102
Tmc5	-0.120896	0.120828
9130020K20Rik	0.138225	0.120828
Gm14966	-0.527964	0.120779
Il1rn	-0.303113	0.120687
Mmgt2	-0.11922	0.120687
Efnb1	0.09253	0.120687
Timm10b	0.1124	0.120687
Srpr	0.148774	0.120672
Gm25635	-0.705394	0.120636
Nebl	0.394422	0.12056
Folr1	0.697908	0.120497
Hspa4l	-0.103818	0.120449
Cox7a1	0.135043	0.120332
Gm8292	0.278009	0.120316
Ces2e	-0.104102	0.12024
Tlr8	0.515104	0.12024
Rhbdf1	0.180367	0.12024
Rps12-ps9	-0.695363	0.120083
Tac2	-0.472202	0.120083
Gm27477	-0.43098	0.120083
Gm7694	-0.37762	0.120083
Wscd2	-0.277353	0.120083
Tnfrsf1b	-0.255087	0.120083
Nr2e3	-0.220889	0.120083
Abhd11	-0.126184	0.120083
Yipf4	-0.112983	0.120083
Pcmt1	-0.102068	0.120083
Chmp4b	-0.094276	0.120083
Lamb1	0.116621	0.120083
Enpp1	0.139639	0.120083
C330006A16Rik	0.159867	0.120083
Stmn1	0.175321	0.120083
Tlr2	0.368572	0.120083
RP24-144H23.5	0.432289	0.120083
Gen1	0.480931	0.120083
4931440P22Rik	0.507081	0.120083
RP24-481E4.1	0.514104	0.120083
Gm12503	0.514115	0.120083
Gm10083	0.634147	0.120083
Rpl35a-ps4	0.634383	0.120083
BC048609	0.63439	0.120083
Ccdc129	0.634467	0.120083
Gm11545	0.634538	0.120083
Gxylt2	0.634699	0.120083
Tcrg-C4	0.820765	0.120083
B4galnt2	-0.138636	0.120082
Bak1	0.131381	0.120082
9430016H08Rik	-0.236637	0.119921
Ahr	-0.172367	0.119921
Ppil4	0.091604	0.119921
mt-Nd1	0.131664	0.119921
Gm15975	0.325045	0.119921
Gm15491	0.634016	0.119921
Amhr2	0.738228	0.119921
Oaz2	0.131091	0.119892
Fgf13	-0.392536	0.119844
Twist1	-0.37881	0.119844
Wdr62	-0.303051	0.119844
Zfp53	-0.266109	0.119844
Gas6	-0.213789	0.119844
Zc3h13	-0.127436	0.119844
Grem1	-0.126731	0.119844
Nfx1	-0.102249	0.119844
Ifih1	-0.095183	0.119844
Naca	0.081048	0.119844
Spsb1	0.133551	0.119844
Pls3	0.141646	0.119844
Pin1	0.150692	0.119844
Mcc	0.360112	0.119844
Klhdc1	0.411379	0.119844
Tnfrsf4	0.416485	0.119844
Slc45a3	0.423016	0.119844
Gm14443	0.679951	0.119844
Gm12294	0.684201	0.119844
Mpp7	0.17428	0.119842
Sh2d1b1	-0.605976	0.119475
Stag2	-0.099567	0.119475
Ahnak	-0.087165	0.119475
Mbnl1	-0.081766	0.119475
Hnrnpul2	0.093265	0.119475
Itga10	0.504398	0.119475
Gapdh	0.530282	0.119475
Gm4617	0.634529	0.119475
DNAJC19;	0.529841	0.119369
Wrn	-0.194928	0.119368
Capzb	-0.128136	0.119368
Dcp2	-0.107831	0.119368
Gm16503	0.529943	0.119357
Ltc4s	0.255692	0.119321
E2f8	0.216062	0.119277
Ak8	0.966229	0.119202
RP23-264G9.1	0.652816	0.119136
Abi3bp	-0.185577	0.119013
Pja2	0.089399	0.119013
Naf1	0.156609	0.119013
Abcb4	0.748946	0.119013
Tmod4	0.600042	0.118968
Cd101	-0.532721	0.118949
Apba2	-0.532522	0.118949
Kiss1r	-0.483623	0.118949
Dnajc12	-0.355354	0.118949
Txndc11	0.108309	0.118949
Slx4ip	0.203733	0.118949
9530026P05Rik	0.428863	0.118949
Hotairm1	0.54951	0.118949
RP23-73N8.4	0.687774	0.118949
Gm10320	-0.59817	0.118907
Gm15963	-0.377585	0.118907
Zfp933	-0.150336	0.118907
Fbrs	-0.142758	0.118907
Fam69a	0.227366	0.118907
Adipoq	0.340584	0.118907
Ifitm5	0.475366	0.118907
H1fx	-0.393608	0.118804
2010001A14Rik	-0.210323	0.118804
BC029214	-0.176159	0.118804
Ube2a	-0.1409	0.118804
Dnajc21	0.102124	0.118804
Srgap2	0.17874	0.118804
9430008C03Rik	0.233213	0.118804
Hopxos	0.572353	0.118804
Fstl4	0.282497	0.11879
Gm6768	0.805866	0.11879
Fadd	-0.149435	0.118775
H2-T10	0.571866	0.118775
Tlr12	-0.212714	0.118697
Srd5a1	0.132611	0.118697
Map3k6	0.194616	0.118697
Gm13777	0.881912	0.118697
Haghl	0.206798	0.118548
Rela	-0.142475	0.118332
Syt7	-0.103643	0.11811
Sec22b	0.095712	0.11811
Cbr2	0.277338	0.11811
Il1a	0.924187	0.11811
Hnrnpk	-0.135872	0.118035
Gng7	-0.48733	0.117847
Gm13091	-0.551361	0.117791
Ywhae	-0.115991	0.117791
Ppfia2	0.571918	0.117791
Vnn3	0.556115	0.117763
6230400D17Rik	-0.534296	0.117705
Il6st	0.103123	0.117705
Gm14253	-0.257519	0.117704
Tmem98	-0.136255	0.117704
Sri	-0.094995	0.11754
Reep3	-0.081948	0.117504
1110038F14Rik	-0.125447	0.117482
Dusp16	-0.110169	0.117431
Gm28119	-0.725889	0.117417
Gm24095	-0.725804	0.117417
Gm23054	-0.725789	0.117417
Slc47a2	-0.725698	0.117417
AI317395	-0.725236	0.117417
Pcdhb16	-0.602506	0.117417
Gm13710	-0.472942	0.117417
9030407P20Rik	-0.445615	0.117417
Athl1	-0.21103	0.117417
Cul2	-0.186846	0.117417
H2-D1	-0.146902	0.117417
Tubb4b	-0.135449	0.117417
Rchy1	-0.119218	0.117417
Rabgap1	-0.110257	0.117417
Tnfrsf1a	0.086052	0.117417
Lacc1	0.215745	0.117417
RP23-288J11.3	0.262214	0.117417
Rpl24	0.271812	0.117417
Fbxo17	0.635886	0.117417
Htr2b	0.695484	0.117417
Tmem151a	-0.712014	0.117387
Smad3	-0.142217	0.117387
Taf1	-0.100808	0.117387
Gm1631	0.683004	0.117387
Sfxn5	-0.296423	0.117367
Arcn1	-0.106247	0.117251
Nfat5	-0.129049	0.117175
Phgr1	-0.15211	0.117053
Nrg2	0.379552	0.117053
Gm15595	0.793575	0.117011
Mrpl11	0.121145	0.116989
Dcakd	-0.179233	0.116986
Mapk3	-0.141214	0.116916
Aldh3b1	0.186092	0.116889
Actg2	0.146321	0.116883
Vash2	0.768125	0.116883
Acsm5	-0.708417	0.116785
Pld2	0.302137	0.116754
Dnajc28	-0.341857	0.116545
Zfp738	-0.226934	0.116545
Cul4a	-0.132604	0.116394
Dohh	0.179632	0.116394
Gtse1	-0.480116	0.116371
Zfp37	-0.312272	0.116187
Hsf2	0.185025	0.116187
Rps15a-ps3	0.632922	0.116187
2310068J16Rik	0.603625	0.116156
Lrch2	-0.30353	0.116134
Hopx	-0.280408	0.116134
Kank3	0.235037	0.116133
Tox3	0.122806	0.116077
Pla2r1	-0.209131	0.116025
Rad51d	0.154208	0.116025
Wdr18	0.189553	0.116025
Sdhb	0.099406	0.116016
A930015D03Rik	0.496549	0.115993
E430024P14Rik	-0.623064	0.11597
Nrbp2	-0.164302	0.11597
Atg14	0.137694	0.11597
Mfap5	0.251412	0.11597
Ido1	0.409435	0.11597
Asz1	-0.645224	0.115965
Zc3hav1l	0.549847	0.115811
Cd209a	-0.712226	0.115801
Kank2	0.161378	0.115801
Rsad2	-0.20471	0.115756
Ykt6	-0.110115	0.115601
Kdelc1	-0.280417	0.115527
Casp8	-0.171925	0.115527
Gjc3	-0.728522	0.115371
Grm4	-0.505396	0.115371
Atp8a1	0.139422	0.115371
Col18a1	0.155365	0.115371
Shisa4	0.3292	0.115371
I830077J02Rik	0.361412	0.115371
Gm24876	0.670142	0.115371
Gm26205	-0.207491	0.115197
Pygm	0.208447	0.115142
Ptgir	-0.528368	0.11506
Usp28	-0.247168	0.11506
11-Sep	-0.113529	0.11506
Otc	0.091313	0.11506
Rbm33	0.099161	0.11506
Pdxk	0.11602	0.11506
Ccr6	0.397866	0.11506
Rarres1	0.606269	0.11506
Kif21b	0.132536	0.115009
Coq6	0.148846	0.115009
Arl10	-0.234454	0.114812
Pphln1	-0.137365	0.114812
Rps27	-0.117038	0.114812
Prpf6	0.099119	0.114812
Rps9	0.100917	0.114812
Exosc10	0.14441	0.114812
Ckap2l	0.17759	0.114812
Kif18a	0.266358	0.114812
4930563E22Rik	0.507318	0.114812
Kcnj8	0.180079	0.114807
Map2k7	-0.102765	0.114783
RP24-372I24.2	0.883463	0.114783
Kantr	-0.274314	0.114722
Tfe3	-0.148261	0.114722
Blvra	-0.138465	0.114722
Naaa	0.218932	0.114722
Zfp667	0.344685	0.114722
Timp4	0.434792	0.114722
Gm15308	0.544985	0.114722
Abhd17b	-0.07412	0.114675
Usp24	0.102424	0.114675
Anxa4	0.139228	0.114675
Pkp3	0.142306	0.114675
4930594C11Rik	0.40805	0.114675
Actr5	0.2085	0.114669
Pgm3	0.129618	0.114648
Cacng4	0.567845	0.114648
Gm2115	-0.411266	0.114624
Zfp40	-0.275474	0.11458
RP24-81A5.3	0.742209	0.11458
Hs2st1	0.151967	0.114412
Zfp330	0.133213	0.114355
Gtpbp6	0.253914	0.114355
Btbd11	0.285548	0.114355
Epha2	0.3822	0.114341
Apoo	-0.502986	0.114173
Hdac7	0.101786	0.114173
Rnf135	0.163946	0.114173
Ffar2	0.194858	0.114173
Phykpl	-0.125685	0.114153
Baz2b	0.072898	0.114153
Epas1	0.090599	0.114153
Cxcl14	0.134196	0.114153
Ccdc87	0.964991	0.114153
Fhad1os2	1.023127	0.114153
Ppm1a	-0.091742	0.114102
Stau1	-0.098691	0.113956
Nol10	-0.198233	0.113948
Vcpip1	-0.093386	0.113948
Rnaseh2a	0.162788	0.113948
Spink4	0.117459	0.113848
Pabpc1l	0.444988	0.113848
Mesp2	-0.728213	0.113824
Tshz1	0.095909	0.113796
Zfp160	-0.157716	0.113787
Exph5	-0.124552	0.113787
Pnpla2	0.11726	0.113787
Pxmp4	0.135398	0.113787
Sgcz	-0.873	0.113643
Trim26	-0.113042	0.1135
Gm13198	-0.883027	0.113389
Ighv10-1	-0.871015	0.113389
Olfr558	-0.368612	0.113389
RP24-546N2.5	-0.321783	0.113389
RP24-546N2.2	-0.16518	0.113389
Gpr35	-0.148145	0.113389
Cnih1	-0.108445	0.113389
mt-Nd6	0.374683	0.113389
Ccl24	0.596609	0.113389
Adamts17	-0.348233	0.113283
Gm4613	-0.40601	0.11327
Sorcs3	-0.392781	0.11327
Slc41a1	-0.246665	0.113243
Dlgap2	0.696453	0.113211
Gm9767	-1.117257	0.113032
Ebi3	0.258006	0.113032
Acot7	0.12859	0.113022
Zfp91	0.086424	0.11284
RP24-89J3.4	0.363262	0.11284
Fsip1	0.944867	0.11284
Alkbh7	-0.150056	0.112798
Tbc1d14	-0.159541	0.112434
Apobr	0.503644	0.112434
Pqlc2	-0.200431	0.112333
Exoc6b	-0.098115	0.112133
Rpl23	-0.095679	0.112133
4932441J04Rik	-0.719972	0.112113
Gm15533	-0.723782	0.112072
Csrnp3	-0.61724	0.112072
Gm17257	-0.241503	0.112072
Tyw5	-0.191408	0.112072
Ssr3	-0.141075	0.112072
Dnajb12	-0.106171	0.112072
Nab1	-0.099335	0.111916
Tgm2	0.118702	0.111912
Adcy1	-0.383413	0.111854
Acbd4	-0.110811	0.111854
Gm27162	0.362693	0.111854
RP23-239I17.3	-0.719626	0.111726
Fgl1	-0.60482	0.111726
Abcg4	-0.542311	0.111726
Vtn	-0.531916	0.111726
Dyrk3	-0.513264	0.111726
Sumf2	-0.40659	0.111726
Gm21781	-0.307866	0.111726
Rpl27	-0.141071	0.111726
Jrkl	-0.129092	0.111726
Zfp322a	-0.121776	0.111726
Ubfd1	-0.120687	0.111726
Klc1	-0.119477	0.111726
Agfg1	-0.083122	0.111726
Rabac1	0.115873	0.111726
Rbm22	0.12432	0.111726
Mrpl9	0.168131	0.111726
Slc6a13	0.421073	0.111726
Gls2	0.61245	0.111726
Rptoros	-0.639738	0.111599
9-Mar	-0.226092	0.111599
2610524H06Rik	-0.342713	0.111576
Ehd4	0.091284	0.111345
Glo1	0.10016	0.111274
Zfp362	0.19937	0.111274
Dact1	0.253511	0.111274
Elmo2	-0.149288	0.11103
Comtd1	0.138181	0.11103
Lmna	0.148338	0.11103
Gm9796	-0.725732	0.110952
Hecw2	0.308096	0.110952
Sh2d4b	0.793876	0.110952
Loxl2	-0.271839	0.110458
Pnkp	0.169677	0.110458
Zbtb17	0.202131	0.110458
Gm12122	-0.464673	0.110367
Zfp719	-0.183263	0.110367
1-Sep	0.29369	0.110367
Zc3h7a	0.077089	0.110153
Ubxn2b	0.142876	0.110153
RP23-268A12.2	0.68146	0.110153
Ext2	-0.144416	0.11013
Gm6023	0.462105	0.11013
Snx29	0.288537	0.110121
Gm11724	-0.721378	0.110035
Lrrc16b	-0.69737	0.110035
RP23-73N8.1	-0.388618	0.110035
Mplkip	-0.145087	0.110035
Itgb4	-0.125187	0.110035
Phkb	0.111886	0.110035
Pxn	0.120845	0.110035
Inpp5a	0.129511	0.110035
Polr3gl	0.156178	0.110035
Usp30	0.183621	0.110035
Sh2d6	0.243284	0.110035
5430416O09Rik	0.456917	0.110035
Lgi3	0.683072	0.110035
Arhgap10	0.25808	0.110009
Akr1b3	0.364459	0.109868
Tspo2	0.608182	0.109868
Dpy19l1	-0.156668	0.109829
mt-Atp6	0.399122	0.109829
Tusc1	0.15674	0.109498
Ttc17	-0.142155	0.109299
Lrrc59	0.111599	0.109299
Nfatc4	0.229446	0.109299
Dync1i1	-0.482398	0.109295
Srp68	-0.086812	0.109295
Tmc6	0.138785	0.109295
Tenm3	0.288598	0.109295
Dlg4	0.336507	0.109295
Gmfg	0.365797	0.109295
Gbp6	0.521683	0.109295
Igf1r	-0.180192	0.109273
Hoxb8	-0.178095	0.109273
Gm13341	-0.139344	0.109273
Pth1r	0.228156	0.109273
Zfp12	0.242529	0.109273
Acad12	0.266986	0.109273
Nxph3	0.5035	0.109273
Khdrbs2	0.55294	0.109273
1700011L22Rik	1.094637	0.109273
Gm17690	-0.31728	0.109218
6030443J06Rik	-0.771734	0.109162
Ldb2	-0.185106	0.109162
Arhgef25	-0.15176	0.109162
Zfp551	0.425828	0.109073
Rasgrp3	0.239776	0.108993
Mras	0.168317	0.108721
Aco2	-0.121829	0.108717
Nmt2	0.117547	0.108717
Hk3	-0.511861	0.108669
Mccc2	-0.258334	0.108669
Tor1aip1	-0.17403	0.108669
Ngly1	-0.162717	0.108669
Cyp2s1	-0.10685	0.108669
Peak1	0.105925	0.108669
Med1	0.107441	0.108669
Syt4	0.237652	0.108669
Ighv9-3	1.325098	0.108669
Nqo1	-0.169529	0.108627
Srebf2	-0.131977	0.108627
Nlrc3	0.356519	0.108627
A130010J15Rik	0.129687	0.108623
Abca8a	-0.172452	0.108621
Ncoa6	-0.111727	0.1086
2410019O14Rik	-0.732886	0.108585
Gstm7	0.233588	0.108582
Efemp1	-0.209122	0.108493
Dcaf12l1	-0.496783	0.108285
RP23-61D6.5	-0.641043	0.108095
Egr2	-0.620352	0.108095
Pde2a	0.124761	0.108095
Wnt3	0.16704	0.108095
Fah	0.298819	0.10807
2900026A02Rik	-0.096558	0.107792
Cdc27	-0.093112	0.107792
4632404H12Rik	-0.33827	0.107766
Nbea	0.118962	0.107766
Gm24455	-0.774062	0.107675
Npas3	-0.735879	0.107675
Gclm	-0.098111	0.107675
Dnah7b	0.673829	0.107675
Ppp1r14b	-0.400808	0.107567
AC161585.1	-0.493755	0.107523
P2rx5	0.649845	0.107523
Tctn3	0.366518	0.10748
Ptpn2	-0.138485	0.107449
Parp4	-0.108256	0.107449
Foxa1	-0.16804	0.107358
Cacna1b	0.357072	0.107286
Nyx	-0.432576	0.107258
Kdelr3	-0.240347	0.107258
Uso1	-0.099179	0.107258
RP24-429G21.7	0.653399	0.107258
Ccdc101	0.161663	0.107217
Nlgn2	-0.301539	0.107123
Ncf2	0.15463	0.107107
Ngef	0.135816	0.107106
Slc7a2	-0.260551	0.106742
Dmwd	0.240274	0.106662
AI661453	0.136271	0.106612
A330069E16Rik	-0.717855	0.106586
Pax4	-0.714277	0.106586
Gm5871	-0.324296	0.106586
Smox	-0.14253	0.106586
Mllt6	-0.096919	0.106586
Zdhhc9	-0.091643	0.106586
Grpel1	0.126883	0.106586
Cd302	0.127518	0.106586
Rnf217	0.177734	0.106586
Impdh1	0.220725	0.106586
Fat4	0.247824	0.106586
Ccm2l	0.258148	0.106586
Apoc2	0.266618	0.106586
Apol6	0.330858	0.106586
Map4k1	0.352203	0.106586
Gm13205	0.439465	0.106586
Dgki	0.584278	0.106586
Tmem63a	0.12002	0.10655
Plagl2	0.147795	0.10655
Pygo2	-0.116291	0.106518
Shank3	0.702064	0.106496
RP23-76C20.4	0.662177	0.106457
Tmem38b	-0.193603	0.106431
Spice1	0.189169	0.106431
Rab3gap2	-0.149565	0.10633
Kcnk6	0.188441	0.10633
Trappc2l	0.099023	0.106315
1700066M21Rik	-0.430635	0.106303
Nlgn1	-0.380703	0.106303
Bmp4	-0.214199	0.106303
2610002J02Rik	-0.157873	0.106303
Arid1a	0.098483	0.106303
Tnk2	0.139095	0.106303
Vrk2	0.166069	0.106303
Pcdh9	0.220105	0.106303
Hat1	0.147532	0.106298
Ctns	0.164007	0.106263
Pgr	-0.510639	0.106113
Fam204a	-0.199294	0.106113
Raph1	-0.072912	0.106113
Zfp113	0.119716	0.106113
Gpatch1	-0.178375	0.106033
Pptc7	-0.105345	0.106033
Tpra1	-0.232213	0.105992
Habp2	0.213145	0.105941
Ick	-0.130711	0.105876
Rab13	0.186974	0.105876
Gm28187	0.597512	0.105817
Ttll4	-0.180678	0.105801
Rab4b	0.734856	0.105758
Mst1r	-0.20822	0.105681
Slc35b4	0.129649	0.105681
Zfc3h1	0.116045	0.105623
Cadps2	-0.165273	0.105612
Sfxn3	0.194642	0.105612
Dapk1	0.209311	0.105612
Hist1h1a	0.25406	0.105612
Usp47	0.071818	0.105542
Klhl20	-0.160552	0.105502
Ccbl2	0.18238	0.105502
Gm11266	-0.739334	0.105496
Gm11127	-0.727784	0.105496
A530084C06Rik	-0.533433	0.105496
Gm9845	-0.493468	0.105496
Kcnmb4	-0.393386	0.105496
Gm13573	-0.393329	0.105496
Rnaset2b	-0.268422	0.105496
Maml1	-0.267726	0.105496
Wwtr1	-0.166687	0.105496
Chuk	-0.1523	0.105496
Tex264	-0.147867	0.105496
Cnksr1	-0.143321	0.105496
Sf1	-0.142018	0.105496
Hint3	-0.123076	0.105496
Acp6	-0.12225	0.105496
Psmc2	-0.111597	0.105496
Slmap	-0.108819	0.105496
Kdm5b	-0.10761	0.105496
Ufc1	-0.105102	0.105496
Cndp2	-0.104244	0.105496
Arl2bp	0.088062	0.105496
Rbm8a	0.08854	0.105496
Efhd2	0.097272	0.105496
Mrps15	0.103947	0.105496
Wls	0.112072	0.105496
Trim7	0.150872	0.105496
Ing5	0.150959	0.105496
Kdm1b	0.165275	0.105496
Acad9	0.1685	0.105496
Amer1	0.180934	0.105496
Hdac8	0.194957	0.105496
Gfra2	0.232728	0.105496
Irx4	0.624977	0.105496
Sirpb1c	-0.843384	0.105407
Gm14167	-0.760566	0.105407
Gm14822	-0.565042	0.105407
Cacna1d	-0.235958	0.105407
Toe1	-0.219496	0.105407
Tmem203	-0.202397	0.105407
Spcs2	-0.105372	0.105407
Dsn1	0.244818	0.105407
Frem2	0.316923	0.105407
Serpina1e	0.332336	0.105407
Hspa14	-0.119792	0.105393
Abca2	0.203255	0.105355
Stambpl1	0.141006	0.105341
Kcnq5	0.60005	0.10526
Timp3	0.125555	0.105158
Zfp768	-0.158478	0.105133
Psme3	0.101997	0.105133
Fam19a3	-0.817785	0.1051
Rab3il1	-0.403045	0.1051
Syp	-0.380404	0.1051
Ube2t	-0.306745	0.1051
Dsc2	-0.112535	0.1051
Mapk8	0.097427	0.1051
Zfp110	0.10781	0.1051
Grb10	0.185266	0.1051
Alg14	0.152633	0.104869
Tnfrsf18	0.364592	0.104869
Snord82	-0.708505	0.104851
Ptk7	-0.440799	0.104851
Zzz3	0.103239	0.104851
Lrp5	0.187142	0.104851
Unc5c	0.273575	0.104851
Unc45b	0.298549	0.104851
Slc4a3	0.317611	0.104851
Rab23	0.218503	0.104752
C920006O11Rik	-0.367496	0.104619
Zcchc4	-0.157447	0.104619
Skiv2l	-0.156091	0.104619
Ttc27	0.231171	0.104619
Pgam1	0.245055	0.104619
Srpk3	0.335678	0.104619
Klrc2	0.65724	0.104619
Setmar	-0.30631	0.104568
Gck	-0.734275	0.104563
Ccdc162	-0.508843	0.104563
Get4	-0.399695	0.104563
Pex6	-0.186269	0.104563
Nrep	-0.165287	0.104563
Ptrh2	-0.146118	0.104563
Sirt1	-0.138346	0.104563
Polrmt	0.163416	0.104563
Kif11	0.174872	0.104563
Nlrx1	0.221462	0.104563
Polh	0.666374	0.104563
Stxbp1	0.117749	0.104561
D830044I16Rik	0.534142	0.104561
Gm16124	-0.494043	0.104414
Klhl36	-0.422447	0.104414
Erp27	0.665075	0.104414
Slc13a2	-0.154961	0.104158
Rhbdd1	0.145539	0.104062
Sh3d21	-0.216031	0.104054
Mrps2	-0.111054	0.104054
Mrpl49	0.109511	0.104054
B3galt1	0.560194	0.104054
Ltbp3	-0.204155	0.104029
Pithd1	0.098709	0.104029
N4bp1	0.123992	0.103985
Selp	0.495943	0.103985
Spidr	0.287955	0.103973
Atic	-0.137101	0.103943
Tgfbr1	-0.118929	0.103943
Foxl1	0.331174	0.103943
Cds2	-0.116814	0.103928
Arhgap29	-0.134341	0.103923
Krt18	0.120583	0.103923
Gins1	0.202227	0.103923
Lrrtm3	0.254683	0.103923
Rnaset2a	-0.277614	0.103864
Vps52	0.124532	0.103864
Gm24494	0.690709	0.103864
A430110L20Rik	-0.736945	0.103645
E230013L22Rik	-0.392289	0.103645
RP24-540L1.2	-0.161223	0.103645
Extl1	-0.323007	0.103446
Banf1	-0.189208	0.103446
Smim4	-0.136152	0.103446
Zcchc8	-0.110349	0.103446
Bag1	0.091901	0.103446
Hdac6	0.206623	0.103446
Foxp3	0.713617	0.103446
Gabrg2	0.737159	0.103446
Scml2	-0.587982	0.103441
Gm26912	-0.587639	0.103355
Rnf115	0.088552	0.103355
5830418P13Rik	-0.587861	0.103344
Map2k4	-0.095372	0.103344
Rpl35a	0.19178	0.103344
Kcnip1	-0.411519	0.103223
Ccdc80	0.144609	0.103223
Dcdc2b	-0.58708	0.103221
5730480H06Rik	-0.586963	0.103221
Rgn	-0.404452	0.103221
