ACCESSION,DESCRIPTION,NORM_INTENSITY_1,NORM_INTENSITY_2,NORM_INTENSITY_3,NORM_INTENSITY_4,NORM_INTENSITY_5,NORM_INTENSITY_6,NORM_INTENSITY_7,NORM_INTENSITY_8,NORM_INTENSITY_9,NORM_INTENSITY_10,NORM_INTENSITY_11,NORM_INTENSITY_12,NORM_INTENSITY_13,NORM_INTENSITY_14,NORM_INTENSITY_15,NORM_INTENSITY_16,NORM_INTENSITY_17
A0A087WP24,Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1 ,19760699,10525022,17029786,30757921,45549814,22199980,28627571,8367855,37576070,14250894,5446498,13000547,9438352,6610710,6116855,13241893,32041323
contaminant_GR78_MAIZE,owl|P24067| IMMUNOGLOBULIN BINDING PROTEIN HOMOLOG B70 (HEAT SHOCK PROTEIN... ,106099153,121655764,98320086,131308015,26217456,162813049,46207246,43893872,42682333,146546648,20657081,107765475,37452479,7942554,14357051,45891655,77678842
Q9QWR8,Alpha-N-acetylgalactosaminidase OS=Mus musculus OX=10090 GN=Naga PE=1 SV=2 ,8660530,1873311,6173310,6855615,11443543,5619001,5244313,4436129,6510630,2038165,876650,6784853,3877399,2235321,9863609,10293380,23105747
D3YVU7,Lysine-specific demethylase 2B OS=Mus musculus OX=10090 GN=Kdm2b PE=1 SV=1 ,16377098,36187509,42841203,60922515,73010567,78689799,53108798,45251924,70437663,12205671,3150584,15924554,17626173,5640314,63406121,66724454,15182818
A0A1D5RLP1,Coactosin-like protein OS=Mus musculus OX=10090 GN=Cotl1 PE=1 SV=1 ,32058340,56106739,31171442,44273670,4094731,29230361,14630188,25410101,9464122,55185236,5603196,27129208,17395158,17579107,35104824,15828126,19640028
Q91Y97,Fructose-bisphosphate aldolase B OS=Mus musculus OX=10090 GN=Aldob PE=1 SV=3 ,147673019,138391937,189766737,92839406,119703940,199977675,103891762,106476634,108683565,115114196,424087167,90686934,150065436,270305650,162040819,174052279,135470993
D3YVU4,Lysine-specific demethylase 2B OS=Mus musculus OX=10090 GN=Kdm2b PE=1 SV=2 ,16377098,36187509,42841203,60922515,73010567,78689799,53108798,45251924,70437663,12205671,3150584,15924554,17626173,5640314,63406121,66724454,15182818
E9Q997,NADPH--cytochrome P450 reductase (Fragment) OS=Mus musculus OX=10090 GN=Por PE=1 SV=8 ,173944031,59226048,231771058,232588429,313116318,141844744,286748913,234463843,266763852,161007087,17497721,139068444,39250406,53553886,28384758,36130102,338868839
D3Z7U0,Annexin OS=Mus musculus OX=10090 GN=Anxa11 PE=1 SV=1 ,13620364,16596905,6671531,11284699,15819029,11080626,6493465,24723947,3625104,8967001,8010013,36680403,39677813,19751120,14275470,19128241,19950161
Q3UHL6,Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1 ,3764636,4142688,1799499,1357867,4836828,2190613,2573927,1145823,6246416,2828656,8101798,1783270,2994042,10855518,10181306,33919352,3416648
B7ZNL3,Tpm1 protein OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1 ,189181270,367192156,275017428,473495498,179226378,305503835,266918749,103099154,151163985,146982626,723767769,171777533,349968939,223534567,529743540,500636534,179105358
Q9JJN2,Zinc finger homeobox protein 4 OS=Mus musculus OX=10090 GN=Zfhx4 PE=1 SV=1 ,6339399,4361719,8314926,80418610,14534084,5477389,53629701,16124942,17635527,2391092,1163818882,2527778,8831323,564869858,129046252,50497513,5009338
B7ZNL2,Nap1l4 protein OS=Mus musculus OX=10090 GN=Nap1l4 PE=1 SV=1 ,12165863,14458510,18054290,26949010,34610081,4351689,26458176,4888384,29696840,6710960,23150693,7220852,27617522,44899615,3981971,25976412,16463297
Q61301,Catenin alpha-2 OS=Mus musculus OX=10090 GN=Ctnna2 PE=1 SV=3 ,4249046,750585,52196,272290,32763774,154330,2808352,283234,3186291,15177934,12333548,1202513,1758437,11528350,6657429,2611607,22143768
P26041,Moesin OS=Mus musculus OX=10090 GN=Msn PE=1 SV=3 ,4695729,2349864,3275983,885240,11539041,3537604,12768115,13227420,9333656,5497788,1140491,2965286,1698340,3225787,2037848,4251860,7829624
Q3TTF6,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Mus musculus OX=10090 GN=Ppp2r1b PE=1 SV=1 ,34313466,8462296,35468272,10988751,29226283,24899734,28911640,27080683,13042213,16045035,13232782,19500701,6020407,24739628,16033536,16001914,44576998
Q9CQ09,Ribosomal protein L3-like OS=Mus musculus OX=10090 GN=Rpl3l PE=1 SV=1 ,33670556,12340848,54918609,177041730,69725363,22714936,28547048,34224725,30041533,35469173,39815571,20369016,42349679,43702968,26349259,50293135,32742146
A0A0R4J259,Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus OX=10090 GN=Syncrip PE=1 SV=1 ,4399418,6781148,2545662,6725393,5270631,2905622,3561438,2926458,6727251,4459480,6408447,12895171,98308049,20265836,28996470,105159654,2413526
E0CXH2,"Ribosome-releasing factor 2, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Gfm2 PE=1 SV=1 ",51100962,39790535,60616979,19052365,122693046,38568889,127158870,15082619,110163399,50920594,3123677,53357046,15706479,13695135,25433227,15344284,55178939
A0A0R4J256,Proteasome subunit beta OS=Mus musculus OX=10090 GN=Psmb9 PE=1 SV=1 ,8896289,3683347,6583690,1662862,11361366,28205606,22862063,62478936,8301462,7904898,250768000,6010795,161628793,246932435,207306142,150007184,11390926
D3YW57,Coronin (Fragment) OS=Mus musculus OX=10090 GN=Coro1a PE=1 SV=1 ,237217522,513818697,231718868,368612083,608715993,359104830,547662733,244457922,364190825,302991025,5071152,392348873,7474012,29248317,10389199,5056360,387755612
F2Z4A3,FAT atypical cadherin 1 OS=Mus musculus OX=10090 GN=Fat1 PE=1 SV=1 ,12259734,19143135,7566070,31435871,22827361,9663158,8720706,2105654,7354023,14835453,28025437,32922476,55034908,24635395,54546975,66093668,33725758
B1B1A8,"Myosin light chain kinase, smooth muscle OS=Mus musculus OX=10090 GN=Mylk PE=1 SV=1 ",344162159,504088812,365855596,349033129,350857862,157004997,272839632,559655559,310406601,232932685,668061781,278433444,485760809,455584408,584616719,467295251,360433467
A0A0U1RPV8,"Thioredoxin reductase 2, mitochondrial OS=Mus musculus OX=10090 GN=Txnrd2 PE=1 SV=1 ",28007548,41349242,30256776,35784204,55190749,19448056,24904125,4883978,1,15792739,3814752,20579475,10168869,7232582,49161821,6905501,21658887
P26039,Talin-1 OS=Mus musculus OX=10090 GN=Tln1 PE=1 SV=2 ,388157304,364913836,196135923,395483337,341642865,165834377,300319001,343416985,125245546,370648483,58591101,444780128,24185362,119757902,34064298,53024514,350691374
O35684,Neuroserpin OS=Mus musculus OX=10090 GN=Serpini1 PE=1 SV=1 ,14956051,6438209,7929688,7784557,16074845,5697407,14587753,3617964,6748022,4826754,3401217,5531713,5186556,3210090,4574763,5889586,17962539
A0A0U1RQ72,Glucose phosphate isomerase 1 OS=Mus musculus OX=10090 GN=Gpi1 PE=1 SV=1 ,177760456,315595270,295817528,197782406,141078760,265303750,208936687,270394148,161148063,118475833,112235748,102634311,86776997,62151934,305897127,47500603,149178032
P59999,Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3 ,53441358,53296200,61062793,36602234,39311870,67846366,29343296,35630867,35935750,50525315,19766583,24030116,20979454,22992016,29756049,65223741,47303944
P50714,Alpha-defensin 16 OS=Mus musculus OX=10090 GN=Defa16 PE=2 SV=2 ,75113000,51226880,33727092,83861562,47325115,56508680,42554120,17356279,66928733,46477134,39834476,66255033,11901023,8273797,11536129,22254947,59230729
Q9CPN9,RIKEN cDNA 2210010C04 gene OS=Mus musculus OX=10090 GN=2210010C04Rik PE=1 SV=1 ,421406417,1284409204,1408360007,934187977,444984910,1265151417,1056172005,1167684569,306707831,1220031661,12144445069,2179971117,550833134,1011964357,2773451022,653608548,1512252924
P50713,Alpha-defensin 15 OS=Mus musculus OX=10090 GN=Defa15 PE=2 SV=2 ,103848958,163718983,117473854,207008625,94924762,90671839,183393437,97777820,124408859,104374991,163399042,114461027,54386786,81321181,76644147,96535583,103353160
P50712,Alpha-defensin 14 (Fragment) OS=Mus musculus OX=10090 GN=Defa14 PE=2 SV=2 ,75113000,51226880,33727092,83861562,47325115,56508680,42554120,17356279,66928733,46477134,39834476,66255033,11901023,8273797,11536129,22254947,59230729
Q9CPN7,RIKEN cDNA 1810009J06 gene OS=Mus musculus OX=10090 GN=1810009J06Rik PE=2 SV=1 ,81356751,78478271,44126314,70456222,101796567,36691938,125332860,14836224,34097798,59750193,136840323,125813131,68620822,38691441,220786623,71039477,54151359
P50711,Alpha-defensin 13 OS=Mus musculus OX=10090 GN=Defa13 PE=2 SV=2 ,75113000,51226880,33727092,83861562,47325115,56508680,42554120,17356279,66928733,46477134,39834476,66255033,11901023,8273797,11536129,22254947,59230729
D6RIM8,Harmonin OS=Mus musculus OX=10090 GN=Ush1c PE=1 SV=1 ,9279691,11548226,10545237,5652534,12038007,9779843,17479553,7320924,7755918,13634713,10644797,6620159,11456886,13568886,6972284,17355531,11180387
S4R187,Ankyrin-3 OS=Mus musculus OX=10090 GN=Ank3 PE=1 SV=1 ,5035489,735699142,289555056,505471985,519425115,6884813,636566251,317690879,912181268,17005896,630656,8864522,9889411,20613310,21840098,28600953,6804344
Q9QX15,Calcium-activated chloride channel regulator 3A-1 OS=Mus musculus OX=10090 GN=Clca3a1 PE=1 SV=1 ,85842843,42959524,46657689,74124231,138194305,45075990,165446073,11092229,132901213,49396765,65728924,54848275,331900610,85002668,252251306,389758842,45822118
Q9D7Z6,Calcium-activated chloride channel regulator 1 OS=Mus musculus OX=10090 GN=Clca1 PE=1 SV=2 ,4051409287,5071390242,2011906344,3111713606,2969423168,1829720463,2876179873,1765126479,2373457032,2344643632,1928881359,2384332484,3783879748,2916606047,3991275562,4410052333,2169988591
Q569L8,Centromere protein J OS=Mus musculus OX=10090 GN=Cenpj PE=2 SV=2 ,2441031,4864510,3259130,7021792,9041198,1680288,6343119,16124967,5857592,8555898,20675467,36305336,18037602,40603616,7525219,11086204,5609565
A0A0U1RPU7,Flavin reductase (NADPH) OS=Mus musculus OX=10090 GN=Blvrb PE=1 SV=1 ,23056313,11786967,24032653,8078617,11491401,17304601,6908196,15770832,8389663,24935163,749126,9526913,2713876,2110363,6498616,13385072,20479793
B7ZNJ1,Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1 ,3764636,4142688,1799499,1357867,4836828,2190613,2573927,1145823,6246416,2828656,8101798,1783270,2994042,10855518,10181306,33919352,3416648
G3X9Y6,"Aldo-keto reductase family 1, member C19 OS=Mus musculus OX=10090 GN=Akr1c19 PE=1 SV=1 ",793747919,808735118,703275093,760523206,333951337,1134060795,481380130,587341519,433234786,795571445,240065647,765966470,190035434,108803791,348060510,400921230,777357090
P50709,Alpha-defensin 11 (Fragment) OS=Mus musculus OX=10090 GN=Defa11 PE=2 SV=2 ,103848958,163718983,117473854,207008625,94924762,90671839,183393437,97777820,124408859,104374991,163399042,114461027,54386786,81321181,76644147,96535583,103353160
P50708,Alpha-defensin 10 OS=Mus musculus OX=10090 GN=Defa10 PE=2 SV=3 ,75113000,51226880,33727092,83861562,47325115,56508680,42554120,17356279,66928733,46477134,39834476,66255033,11901023,8273797,11536129,22254947,59230729
Q3TN85,UV excision repair protein RAD23 homolog A (Fragment) OS=Mus musculus OX=10090 GN=Rad23a PE=1 SV=1 ,16299240,7900871,17409713,19458261,39428583,7983746,23127614,23749682,27806901,10715720,11368087,22429764,298163353,28655163,66231774,343906817,18181130
P50707,Alpha-defensin 9 OS=Mus musculus OX=10090 GN=Defa9 PE=2 SV=2 ,103848958,163718983,117473854,207008625,94924762,90671839,183393437,97777820,124408859,104374991,163399042,114461027,54386786,81321181,76644147,96535583,103353160
P50706,Alpha-defensin 8 (Fragment) OS=Mus musculus OX=10090 GN=Defa8 PE=2 SV=2 ,75113000,51226880,33727092,83861562,47325115,56508680,42554120,17356279,66928733,46477134,39834476,66255033,11901023,8273797,11536129,22254947,59230729
P14094,Sodium/potassium-transporting ATPase subunit beta-1 OS=Mus musculus OX=10090 GN=Atp1b1 PE=1 SV=1 ,57255914,35913653,61179778,66781104,63681510,29290746,62632215,15516714,67000596,25781649,21513500,34358281,74392881,190147637,189474447,205227494,19359842
P50705,Alpha-defensin 7 OS=Mus musculus OX=10090 GN=Defa7 PE=2 SV=2 ,75113000,51226880,33727092,83861562,47325115,56508680,42554120,17356279,66928733,46477134,39834476,66255033,11901023,8273797,11536129,22254947,59230729
A0A1D5RLM8,Predicted gene 11639 OS=Mus musculus OX=10090 GN=Gm11639 PE=1 SV=1 ,8570731,12823067,9657887,8828960,23436844,10869243,16425845,8629496,21145171,17722847,6499222,6852389,5960103,194785,7575499,14829481,10783472
P50704,Alpha-defensin 6/12 OS=Mus musculus OX=10090 GN=Defa6 PE=1 SV=2 ,103848958,163718983,117473854,207008625,94924762,90671839,183393437,97777820,124408859,104374991,163399042,114461027,54386786,81321181,76644147,96535583,103353160
Q80T06,Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1 ,154267517,226964819,39471648,241447860,282191042,38153148,366916468,328334370,51760170,301009807,14262237,111099475,65844484,41018199,127167657,228284741,266267785
Q80T03,Mucin-6 OS=Mus musculus OX=10090 GN=Muc6 PE=2 SV=1 ,1249732,2922843,656414,2651278,1571705,1408636,2835710,5835626,2286836,485088,8144121,788820,3131597,9722461,9020276,17662172,807079
D6RIL6,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus OX=10090 GN=Idh2 PE=1 SV=1 ",49024260,40581866,60698431,24168036,32085005,98776966,32729934,43142317,36047031,55755427,3323503,29229507,28187992,6182165,12706455,29791204,56227456
D3Z7R7,Rho GTPase-activating protein 45 OS=Mus musculus OX=10090 GN=Arhgap45 PE=1 SV=1 ,5763941,21584163,12620655,11823732,22540936,9631186,16913148,4635875,9173530,10193445,54062443,9347570,128881746,114534096,57645443,108531198,44221177
D3YVR7,L-lactate dehydrogenase (Fragment) OS=Mus musculus OX=10090 GN=Ldhc PE=1 SV=1 ,346466074,377976238,349525998,268984621,179843501,426328035,253161514,307439793,211347914,289985488,259795364,231730433,229042769,3406228919,1451562378,85686476,244515881
D6RIL5,UMP-CMP kinase OS=Mus musculus OX=10090 GN=Cmpk1 PE=1 SV=1 ,16747247,10832313,15577506,17260335,27338525,9617078,14050477,31813912,13793529,10355391,28916,7485975,24904000,5836754,51087913,67960300,10324012
Q9D1M0,Protein SEC13 homolog OS=Mus musculus OX=10090 GN=Sec13 PE=1 SV=3 ,111021846,14893177,21858239,24033592,181968933,24637762,115708612,25558607,40444845,97034772,66200021,96757387,89531340,46658730,86206277,93662398,128531107
A0A338P6Y6,Alpha-2-HS-glycoprotein OS=Mus musculus OX=10090 GN=Ahsg PE=1 SV=1 ,32234478,29013928,27798161,36971235,33597485,36526345,48772403,82300969,28712805,61284111,71492277,29587008,56201956,3212997946,116992660,70874032,37736941
D3YVR0,Tropomyosin alpha-3 chain (Fragment) OS=Mus musculus OX=10090 GN=Tpm3 PE=1 SV=1 ,48656559,18278957,76012936,48399929,7501796,48130928,35834823,38393913,71019500,32108835,39527449,29672564,88748369,17741737,96368328,67397623,33977017
Q5ND52,"rRNA methyltransferase 3, mitochondrial OS=Mus musculus OX=10090 GN=Mrm3 PE=2 SV=1 ",900856,261835,285599,166104,640822,86753,249680,2394697,226401,242740,16818019,164054,144563079,13999038,119146343,38615870,143545
Q5ND50,Adapter molecule crk OS=Mus musculus OX=10090 GN=Crk PE=1 SV=2 ,14367639,41716966,17773634,22867720,319970059,16596885,203063470,12902553,69435944,84865489,3460865,79417121,17274961,10852457,13215046,10470608,14281455
A0A0U1RPT5,Fructose-bisphosphate aldolase A (Fragment) OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=1 ,909084293,830909717,922610722,466406209,500214489,1156068495,490102686,754240624,395540169,757866762,496946011,381278472,469709616,635008396,533418558,476995784,536433348
A0A1L1SRC1,Aminoacylase-1 OS=Mus musculus OX=10090 GN=Acy1 PE=1 SV=1 ,70081871,89360165,1651460824,2277911992,1649088081,1100424334,2287262170,4538922889,1603880371,80154214,598191357,51451719,117452184,313066883,527395557,87398287,188600873
O35660,Glutathione S-transferase Mu 6 OS=Mus musculus OX=10090 GN=Gstm6 PE=1 SV=4 ,171331995,216454765,190876200,126458512,30399520,192683901,88090224,121747661,72614075,184675618,41180652,95366806,71202724,61228800,43715805,35490377,93018699
Q61990,Poly(rC)-binding protein 2 OS=Mus musculus OX=10090 GN=Pcbp2 PE=1 SV=1 ,26260245,20352740,19278092,23812471,38521808,13582427,45348301,18886529,48098279,47132705,15245005,52520825,16288342,42858906,13411360,10325837,40751337
Q69ZA1,Cyclin-dependent kinase 13 OS=Mus musculus OX=10090 GN=Cdk13 PE=1 SV=3 ,13686629,12106578,15890889,18032655,8537010,19902840,14391817,7955183,11863311,13941150,12904797,10669815,10918846,15429493,12209732,27527520,9893562
Q8C2R4,"DiGeorge syndrome critical region gene 2, isoform CRA_d OS=Mus musculus OX=10090 GN=Dgcr2 PE=2 SV=1 ",64147691,106948889,56137275,145050622,125558267,62950438,113631901,44838713,118487142,129161604,12084361,51223918,44658699,16543285,36565032,22279704,74426084
E9Q2H8,"Hydroxyacylglutathione hydrolase, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Hagh PE=1 SV=1 ",44949301,38717949,49216136,97220948,79817423,66078295,53189335,32196023,68898809,47922549,61260227,49196135,84563786,57998147,82621840,111786689,75085982
S4R165,Ankyrin-3 OS=Mus musculus OX=10090 GN=Ank3 PE=1 SV=1 ,5035489,735699142,289555056,505471985,519425115,6884813,636566251,317690879,912181268,17005896,630656,8864522,9889411,20613310,21840098,28600953,6804344
Q5I2A0,Serine protease inhibitor A3G OS=Mus musculus OX=10090 GN=Serpina3g PE=1 SV=2 ,159906083,104469140,85184794,110440931,61935267,159088045,64364554,48183099,96414139,129721870,110985730,144110307,50517996,45179813,98910968,138328685,99848574
D6RIK3,Thiopurine S-methyltransferase (Fragment) OS=Mus musculus OX=10090 GN=Tpmt PE=1 SV=2 ,37186631,8186528,7213060,18029602,22470715,6412747,49589582,2544195,217082415,31834556,43899559,23602778,233765291,11457911,397476115,1874765,21800349
A0A0R4J223,Plectin (Fragment) OS=Mus musculus OX=10090 GN=Plec PE=1 SV=1 ,8006381,13241413,10176743,20370908,17215564,5584873,19629516,10110699,23469880,13627136,51386027,9329448,96207444,53267519,73084139,141239026,5071631
A0A338P797,Carbonyl reductase [NADPH] 3 OS=Mus musculus OX=10090 GN=Cbr3 PE=1 SV=1 ,98416339,58216279,183659883,83134094,91781570,133891411,66168281,120922277,91960283,69286612,39669533,87610649,56955422,21812736,24207772,50183721,106707610
A0A0R4J1Q1,Putative homeodomain transcription factor 2 OS=Mus musculus OX=10090 GN=Phtf2 PE=1 SV=1 ,22272796,12175179,19877794,16962876,49350160,13786371,26049453,7138974,29315544,9425383,1177525,8134725,4253845,1963978,959012,6094665,17387808
A0A0R4J221,Plectin (Fragment) OS=Mus musculus OX=10090 GN=Plec PE=1 SV=1 ,8006381,13241413,10176743,20370908,17215564,5584873,19629516,10110699,23469880,13627136,51386027,9329448,96207444,53267519,73084139,141239026,5071631
B7ZNH7,Collagen alpha-1(XIV) chain OS=Mus musculus OX=10090 GN=Col14a1 PE=1 SV=1 ,8355870,23817897,14664782,7007307,15622806,9814290,3071378,13879570,55429335,41705345,1396134,37115313,8836883,4740888,14230794,25579253,28474422
Q9D892,Inosine triphosphate pyrophosphatase OS=Mus musculus OX=10090 GN=Itpa PE=1 SV=2 ,13063663,8719040,11096390,19016077,14883545,10958094,18206856,8089595,8956300,8966941,13412317,8824374,154915993,41081540,329978685,154414607,7456100
A0A338P6X5,Eukaryotic initiation factor 4A-II (Fragment) OS=Mus musculus OX=10090 GN=Eif4a2 PE=1 SV=1 ,33344071,24417575,53759578,21965014,25452960,65244138,26449213,27872041,33430022,20505336,17814336,38660678,43273215,128500174,31064094,36563872,51079523
A0A338P6X4,Trifunctional purine biosynthetic protein adenosine-3 (Fragment) OS=Mus musculus OX=10090 GN=Gart PE=1 SV=1 ,3073306,1314919,2581539,1797852,1205749,1962650,3289201,1870324,772760,2001828,1599256,2681387,6071000,22195051,9545348,16433403,1013586
E9PWT4,"H-2 class I histocompatibility antigen, Q7 alpha chain OS=Mus musculus OX=10090 GN=H2-Q7 PE=3 SV=2 ",14471076,14493833,14048085,8444934,3734109,11514112,2670436,3897156,1206669,13818842,11402232,2684424,2115990,7229718,6095748,3290630,5661088
O35658,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Mus musculus OX=10090 GN=C1qbp PE=1 SV=1 ",8121740,4203766,8852029,4369596,1829220,21516058,5585654,4621983,5965707,20116976,13016490,55864844,264007,11973218,795921,13815898,1509812
Q3UHH1,Zinc finger SWIM domain-containing protein 8 OS=Mus musculus OX=10090 GN=Zswim8 PE=1 SV=1 ,39176563,13720499,31308715,41236042,44271083,14862507,24714000,23642817,32012013,17453003,20573641,19347099,6273448,3543657,43561565,8126479,30783413
F6SX70,Talin-1 (Fragment) OS=Mus musculus OX=10090 GN=Tln1 PE=1 SV=1 ,1310262,662111,3316939,4818206,4534216,3625762,222641,4650713,4213516,3145777,9489497,7187796,4482588,80906622,8748184,7523409,931815
G3X9W0,"Heterogeneous nuclear ribonucleoprotein D, isoform CRA_a OS=Mus musculus OX=10090 GN=Hnrnpd PE=1 SV=1 ",17846943,10348505,24147080,13176392,34488609,7730396,39286371,16186933,68102668,18359668,20880708,16593406,6946923,2399265,26295249,9111338,17986604
Q8C2Q7,Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus OX=10090 GN=Hnrnph1 PE=1 SV=1 ,15798599,8567296,45708222,48063190,34458944,16386531,26163263,13138375,7927815,35343788,10089596,15466222,15489686,12791255,47505118,49825615,15065733
A0A0R4J218,Plectin (Fragment) OS=Mus musculus OX=10090 GN=Plec PE=1 SV=1 ,11356727,44907490,49347989,82602388,185439925,40678132,128234002,26456388,152738169,20387291,59564426,12477648,108674836,76861040,79281874,151610061,66134712
D3YVP9,Glutathione S-transferase (Fragment) OS=Mus musculus OX=10090 GN=Gstm6 PE=1 SV=1 ,168996348,211960307,190876200,125649889,29594765,190217694,86959602,121088494,72177434,179565935,40098053,92732743,69538281,60737315,42406516,33734906,90166527
Q8BKE0,Proteasome endopeptidase complex (Fragment) OS=Mus musculus OX=10090 GN=Psma2 PE=1 SV=1 ,30405552,20446334,33722624,22509209,45627855,29351341,51696877,15084677,46206421,24966620,15342999,25881127,50727021,143868446,76877882,40968464,44979577
D3YVP8,Glutathione S-transferase Mu 6 OS=Mus musculus OX=10090 GN=Gstm6 PE=1 SV=1 ,98916866,130159319,130175708,90803241,19120097,120165979,59922973,41072091,51633575,122893643,6707065,65831742,50390268,14974596,8273082,14679189,58505560
D3YVP6,Glutathione S-transferase Mu 7 OS=Mus musculus OX=10090 GN=Gstm7 PE=1 SV=2 ,482912065,554899603,597494676,440035600,172816847,591531964,249284310,493754765,219623332,500629474,251565821,281251946,297333032,229236570,182048107,124410079,366838781
D3YVP5,Glutathione S-transferase Mu 7 OS=Mus musculus OX=10090 GN=Gstm7 PE=1 SV=1 ,486028406,570947376,615734893,456753616,163393547,593514861,256802781,493038556,223907442,515861828,251850067,280737533,297112346,228649026,165361912,123905679,359696647
A0A0R4J1P2,Tropomyosin alpha-3 chain OS=Mus musculus OX=10090 GN=Tpm3 PE=1 SV=1 ,188619921,362301290,328592948,401700761,149124079,249380813,317091978,119440476,247411904,114095887,784225225,153681085,465702349,251960097,626699571,547329339,201207516
A0A338P786,Ubiquitin-conjugating enzyme E2 L3 (Fragment) OS=Mus musculus OX=10090 GN=Ube2l3 PE=1 SV=1 ,29239858,16007892,44639276,13025776,9379009,30149584,18896471,22912174,16796592,16490287,8160538,33061698,10044670,81248523,6139803,17078688,23573869
Q5ND35,Alpha-2-antiplasmin (Fragment) OS=Mus musculus OX=10090 GN=Serpinf2 PE=1 SV=1 ,75568611,89557212,72769713,85661165,119885635,74894325,49341306,67359485,48944082,36470720,21389419,23056456,64307844,51447367,31844871,41875903,73617787
D3YVP0,Serine protease 30 (Fragment) OS=Mus musculus OX=10090 GN=Prss30 PE=3 SV=8 ,7182356,19609081,6063128,14250027,11600389,8160378,11293304,13124423,9260624,9839036,27342570,52522452,12768394,8260624,86230852,9166604,9878260
F6TY56,UMP-CMP kinase (Fragment) OS=Mus musculus OX=10090 GN=Cmpk1 PE=1 SV=1 ,16747247,10832313,15577506,17260335,27338525,9617078,14050477,31813912,13793529,10355391,28916,7485975,24904000,5836754,51087913,67960300,10324012
P57780,Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1 ,1151742266,1154122582,1245563040,1119523957,1068717479,1563181161,1098656263,1016466411,925086718,1042589897,472842378,1154854601,1476313958,663115246,1269491363,1440536195,980899534
F6RPJ9,Insulin-degrading enzyme (Fragment) OS=Mus musculus OX=10090 GN=Ide PE=1 SV=1 ,183309739,222087579,380713077,507530543,605108271,245404157,293915499,369786106,385053034,147966223,172335294,87710530,315846501,345603827,491606559,266800325,158440432
P38647,"Stress-70 protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspa9 PE=1 SV=3 ",254951927,271073132,249393930,265371429,325896971,279233902,404915528,200672630,296130605,381433754,717573863,319931984,712018532,593797155,1078008256,765066384,214513314
G3X9V8,MCG129038 OS=Mus musculus OX=10090 GN=Serpinb3a PE=1 SV=1 ,196266585,176869935,156924148,248330164,230009577,140390693,154688868,197895890,130951758,195668035,165671596,243507527,141723483,143575065,242288784,219944689,156986175
O35643,AP-1 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap1b1 PE=1 SV=2 ,248572928,212372939,240382366,233920085,251423902,331679579,279366711,118563006,310668110,122352750,101710538,144499296,141796462,95109859,160130052,228969042,282924857
P14069,Protein S100-A6 OS=Mus musculus OX=10090 GN=S100a6 PE=1 SV=3 ,241284702,105307117,194220400,406398331,381998605,249615012,338249229,585211931,245077698,294592803,494080615,191627568,157755160,247728264,234822758,453211075,415928799
G3X9V4,"Glutamate receptor ionotropic, NMDA 2B OS=Mus musculus OX=10090 GN=Grin2b PE=1 SV=1 ",48199038,12107154,65574888,16729446,17866337,5747708,97731076,11828907,8830927,9109321,23202109,27466340,22179060,44736453,3183838,25022205,54726445
G3X9V0,"MCG22048, isoform CRA_a OS=Mus musculus OX=10090 GN=Psme2 PE=1 SV=1 ",15628850,11991797,55157523,11405727,8525907,48688839,17159599,42495232,13188510,7315417,59413222,4356555,218349995,79343532,307639428,375699701,25388201
A0A0R4J209,Cell surface A33 antigen OS=Mus musculus OX=10090 GN=Gpa33 PE=1 SV=1 ,912074030,824720302,1462023983,878065822,972075790,940344440,946960502,1506792027,799778046,718665872,179545671,631577932,480703604,299160689,806941198,1032766044,1274249482
P0CG50,Polyubiquitin-C OS=Mus musculus OX=10090 GN=Ubc PE=1 SV=2 ,658945133,615302281,565022021,397283998,122191709,556914315,153394402,425475082,187009666,504704146,307006397,438657932,150650302,132562302,92077620,63656181,385635573
Q9QWL7,"Keratin, type I cytoskeletal 17 OS=Mus musculus OX=10090 GN=Krt17 PE=1 SV=3 ",327979943,241980074,452589428,176601667,211423056,364943176,312387216,1693649326,261014837,245906058,1423532166,375701777,590207318,838888125,466768396,590854955,393061915
